list,part,item_id,condition,type,type_id,target_gender,gender_match,orig_item_number,case,animacy,R1,R2,R3,R4,R5,R6,text,question,response_true,response_distractors
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,У бабушки,старый,духовка,уже год,плохо,работает,У бабушки старый духовка уже год плохо работает.,Хорошо ли работает у бабушки техника? ,нет,да
1,adjectives,5,c,stim_adj,1,F,Match,0,0,Inanim,На стене ,рваная,газета,давно,еле-еле,держится,На стене  рваная газета давно еле-еле держится.,Все ли в порядке на стене?,нет,да
1,adjectives,6,d,stim_adj,1,M,Mis,0,0,Inanim,В комнате,странная,пакет,в углу,привлекает,внимание,В комнате странная пакет в углу привлекает внимание.,Лежит ли странный предмет в центре комнаты?,нет,да
1,adjectives,7,a,stim_adj,1,M,Match,0,0,Inanim,В холодильнике,готовый,окорок,из Испании,или из,Италии,В холодильнике готовый окорок из Испании или из Италии.,Продукты в ящике были из-за границы?,Да,Нет
1,adjectives,9,c,stim_adj,1,F,Match,0,0,Inanim,На реке,ржавая,баржа,вечером,сильно,тарахтит,На реке ржавая баржа вечером сильно тарахтит.,Есть ли вечером шум на реке?,да,нет
1,adjectives,14,d,stim_adj,1,M,Mis,0,0,Inanim,В саду,сладкая,перец,уже ,скоро,созреет,В саду сладкая перец уже  скоро созреет.,Скоро ли будут фрукты и овощи в саду?,да,нет
1,adjectives,16,b,stim_adj,1,F,Mis,0,0,Inanim,На дороге,грязный,машина,никак,не может,завестись,На дороге грязный машина никак не может завестись.,Удается ли завести мотор?,нет,да
1,adjectives,18,d,stim_adj,1,M,Mis,0,0,Inanim,В шкафу,дорогая,сервиз,уже давно,пылится,без дела,В шкафу дорогая сервиз уже давно пылится без дела.,Используется ли предмет?,нет,да
1,verbs,20,b,stim_verb,2,F,Mis,0,0,Inanim,На кухне,стоял,духовка,китайского,или корейского,производства,На кухне стоял духовка китайского или корейского производства.,Технику произвели в Америке?,нет,да
1,verbs,21,c,stim_verb,2,F,Match,0,0,Inanim,На стене ,виселa,газета,с изображением,группы,Нирвана,На стене  виселa газета с изображением группы Нирвана.,Изображена ли была группа Любэ?,нет,да
1,verbs,22,d,stim_verb,2,M,Mis,0,0,Inanim,При входе,лежала,пакет,с вещами,нашего, приятеля,При входе лежала пакет с вещами нашего  приятеля.,,,
1,verbs,23,a,stim_verb,2,M,Match,0,0,Inanim,В ресторан,прибыл,окорок,из Испании,или из,Италии,В ресторан прибыл окорок из Испании или из Италии.,Еда поступила в ресторан?,да,нет
1,verbs,25,c,stim_verb,2,F,Match,0,0,Inanim,У берега,стояла,баржа,на якоре,и плавно,качалась,У берега стояла баржа на якоре и плавно качалась.,,,
1,verbs,30,d,stim_verb,2,M,Mis,0,0,Inanim,В саду,созрела,перец,из Болгарии,несмотря на ,непогоду,В саду созрела перец из Болгарии несмотря на  непогоду.,Хорошая ли была погода?,нет,да
1,verbs,32,b,stim_verb,2,F,Mis,0,0,Inanim,К дому,подъехал,машина,с выбитыми,стеклами,и фарами,К дому подъехал машина с выбитыми стеклами и фарами.,Стёкла и фары были в плохом состоянии?,да,нет
1,verbs,34,d,stim_verb,2,M,Mis,0,0,Inanim,С полки,упала,сервиз,вместе,с коробкой,и салфетками,С полки упала сервиз вместе с коробкой и салфетками.,Остались ли салфетки на полке?,нет,да
