list	part	item_id	condition	type	type_id	target_gender	gender_match	orig_item_number	case	animacy	R1	R2	R3	R4	R5	R6	text	question	response_true	response_distractors
2	adjectives	4	c	stim_adj	1	F	Match	0	0	Inanim	У бабушки	старая	духовка	уже год	плохо	работает	У бабушки старая духовка уже год плохо работает.	Хорошо ли работает у бабушки техника? 	нет	да
2	adjectives	5	d	stim_adj	1	M	Mis	0	0	Inanim	На стене 	рваная	плакат	давно	еле-еле	держится	На стене  рваная плакат давно еле-еле держится.	Все ли в порядке на стене?	нет	да
2	adjectives	6	a	stim_adj	1	M	Match	0	0	Inanim	В комнате	странный	пакет	в углу	привлекает	внимание	В комнате странный пакет в углу привлекает внимание.	Лежит ли странный предмет в центре комнаты?	нет	да
2	adjectives	7	b	stim_adj	1	F	Mis	0	0	Inanim	В холодильнике	готовый	колбаса	из Испании	или из	Италии	В холодильнике готовый колбаса из Испании или из Италии.	Продукты в ящике были из-за границы?	Да	Нет
2	adjectives	9	d	stim_adj	1	M	Mis	0	0	Inanim	На реке	ржавая	катер	вечером	сильно	тарахтит	На реке ржавая катер вечером сильно тарахтит.	Есть ли вечером шум на реке?	да	нет
2	adjectives	14	a	stim_adj	1	M	Match	0	0	Inanim	В саду	сладкий	перец	уже 	скоро	созреет	В саду сладкий перец уже  скоро созреет.	Скоро ли будут фрукты и овощи в саду?	да	нет
2	adjectives	16	c	stim_adj	1	F	Match	0	0	Inanim	На дороге	грязная	машина	никак	не может	завестись	На дороге грязная машина никак не может завестись.	Удается ли завести мотор?	нет	да
2	adjectives	18	a	stim_adj	1	M	Match	0	0	Inanim	В шкафу	дорогой	сервиз	уже давно	пылится	без дела	В шкафу дорогой сервиз уже давно пылится без дела.	Используется ли предмет?	нет	да
2	verbs	20	c	stim_verb	2	F	Match	0	0	Inanim	На кухне	стоялa	духовка	китайского	или корейского	производства	На кухне стоялa духовка китайского или корейского производства.	Технику произвели в Америке?	нет	да
2	verbs	21	d	stim_verb	2	M	Mis	0	0	Inanim	На стене 	виселa	плакат	с изображением	группы	Нирвана	На стене  виселa плакат с изображением группы Нирвана.	Изображена ли была группа Любэ?	нет	да
2	verbs	22	a	stim_verb	2	M	Match	0	0	Inanim	При входе	лежал	пакет	с вещами	нашего	 приятеля	При входе лежал пакет с вещами нашего  приятеля.			
2	verbs	23	b	stim_verb	2	F	Mis	0	0	Inanim	В ресторан	прибыл	колбаса	из Испании	или из	Италии	В ресторан прибыл колбаса из Испании или из Италии.	Еда поступила в ресторан?	да	нет
2	verbs	25	d	stim_verb	2	M	Mis	0	0	Inanim	У берега	стояла	катер	на якоре	и плавно	качался	У берега стояла катер на якоре и плавно качался.			
2	verbs	30	a	stim_verb	2	M	Match	0	0	Inanim	В саду	созрел	перец	из Болгарии	несмотря на 	непогоду	В саду созрел перец из Болгарии несмотря на  непогоду.	Хорошая ли была погода?	нет	да
2	verbs	32	c	stim_verb	2	F	Match	0	0	Inanim	К дому	подъехала	машина	с выбитыми	стеклами	и фарами	К дому подъехала машина с выбитыми стеклами и фарами.	Стёкла и фары были в плохом состоянии?	да	нет
2	verbs	34	a	stim_verb	2	M	Match	0	0	Inanim	С полки	упал	сервиз	вместе	с коробкой	и салфетками	С полки упал сервиз вместе с коробкой и салфетками.	Остались ли салфетки на полке?	нет	да
2	pred_adjectives	38	a	stim_pred_adj	3	M	Match	0	0	inanim	У бабушки	готов	завтрак	на всю	нашу	семью	У бабушки готов завтрак на всю нашу семью.			
2	pred_adjectives	42	a	stim_pred_adj	3	M	Match	0	0	inanim	Дома всегда	полезен	аппарат	для заготовки	фруктов и	овощей	Дома всегда полезен аппарат для заготовки фруктов и овощей.			
2	pred_adjectives	43	b	stim_pred_adj	3	F	Mis	0	0	inanim	Мне очень	дорог	фотография	с нашей	встречи	в Москве	Мне очень дорог фотография с нашей встречи в Москве.	Состоялась ли наша встреча в России?	да	нет
2	pred_adjectives	44	c	stim_pred_adj	3	F	Match	0	0	inanim	Тебе пока	велика	блузка	из маминого	зимнего	гардероба	Тебе пока велика блузка из маминого зимнего гардероба.			
2	pred_adjectives	46	a	stim_pred_adj	3	M	Match	0	0	inanim	В музее	привлекателен	уголок	научных	экспериментов	для детей	В музее привлекателен уголок научных экспериментов для детей.			
2	pred_adjectives	47	b	stim_pred_adj	3	F	Mis	0	0	inanim	В  парке	маловат	клумба	с незабудками	и статуями	из мха	В  парке маловат клумба с незабудками и статуями из мха.	Есть ли в парке незабудки?	да	нет
2	pred_adjectives	48	c	stim_pred_adj	3	F	Match	0	0	inanim	Для первоклашек	бесполезна	задача	о процентах	или десятичных	дробях	Для первоклашек бесполезна задача о процентах или десятичных дробях.	Знают ли первоклашки дроби?	нет	да
2	pred_adjectives	50	a	stim_pred_adj	3	M	Match	0	0	inanim	Совершенно	недопустим	разговор	о политике 	или деньгах	на работе	Совершенно недопустим разговор о политике  или деньгах на работе.	Можно ли говорить о политике на работе?	нет	да
2	filler	51	0	filler_ungram	4	Masc	0	101N	Acc	0	Ребёнок	по ночам	в кроватку	всегда	плохо	спит	Ребёнок по ночам в кроватку всегда плохо спит.			
2	filler	52	0	filler_gram	5	Masc	0	101Y	Prep	0	Ребёнок	по ночам	в кроватке	всегда	плохо	спит	Ребёнок по ночам в кроватке всегда плохо спит.	Ребёнок хорошо спит в кроватке?	Нет	Да
2	filler	53	0	filler_ungram	4	Masc	0	102N	Instr	0	Старик	приходит	в квартирой	редко	и всегда	неохотно	Старик приходит в квартирой редко и всегда неохотно.			
2	filler	54	0	filler_gram	5	Masc	0	102Y	Acc	0	Старик	приходит	в квартиру	редко	и всегда	неохотно	Старик приходит в квартиру редко и всегда неохотно.	Старик часто приходит в квартиру?	Да	Нет
2	filler	55	0	filler_ungram	4	Masc	0	103N	Acc	0	Мальчик	разговаривает	в школу	громко	и не	заикается	Мальчик разговаривает в школу громко и не заикается.			
2	filler	56	0	filler_gram	5	Masc	0	103Y	Prep	0	Мальчик	разговаривает	в  школе	громко	и не	заикается	Мальчик разговаривает в  школе громко и не заикается.	Мальчик разговаривает тихо?	Нет	Да
2	filler	57	0	filler_ungram	4	Masc	0	104N	Instr	0	Лётчик	летает	в Россией	регулярно	на разных	самолетах	Лётчик летает в Россией регулярно на разных самолетах.			
2	filler	58	0	filler_gram	5	Masc	0	104Y	Acc	0	Лётчик	летает	в Россию	регулярно	на разных	самолетах	Лётчик летает в Россию регулярно на разных самолетах.	Лётчик редко летает в Россию?	Нет	Да
2	filler	59	0	filler_ungram	4	Masc	0	105N	Acc	0	Ученик	работает	в лабораторию	часто	и всегда	с удовольствием	Ученик работает в лабораторию часто и всегда с удовольствием.			
2	filler	60	0	filler_gram	5	Masc	0	105Y	Prep	0	Ученик	работает	в лаборатории	часто	и всегда	с удовольствием	Ученик работает в лаборатории часто и всегда с удовольствием.	Нравится ли ученику работа?	Да	Нет
2	filler	61	0	filler_ungram	4	Masc	0	106N	Instr	0	Художник	едет	в командировкой	неохотно	и быстро	возвращается	Художник едет в командировкой неохотно и быстро возвращается.			
2	filler	62	0	filler_gram	5	Masc	0	106Y	Acc	0	Художник	едет	в командировку	неохотно	и быстро	возвращается	Художник едет в командировку неохотно и быстро возвращается.	Много ли времени художник проводит в командировке?	Нет	Да
2	filler	63	0	filler_ungram	4	Masc	0	107N	Acc	0	Студент	играет	на площадку	на скрипке	тихо 	и неумело	Студент играет на площадку на скрипке тихо  и неумело.			
2	filler	64	0	filler_gram	5	Masc	0	107Y	Prep	0	Студент	играет	на площадке	на скрипке	тихо 	и неумело	Студент играет на площадке на скрипке тихо  и неумело.	Студент хорошо играет на скрипке?	Нет	Да
2	filler	65	0	filler_ungram	4	Masc	0	108N	Instr	0	Директор	уходит	на работой	рано	и остается	допоздна	Директор уходит на работой рано и остается допоздна.			
2	filler	66	0	filler_gram	5	Masc	0	108Y	Acc	0	Директор	уходит	на работу	рано	и остается	допоздна	Директор уходит на работу рано и остается допоздна.	Директор находится на работе допоздна?	Да	Нет
2	filler	87	0	filler_ungram	4	Fem	0	119N	Acc	0	Девушка	курит	в офис	открыто	вопреки	правилам	Девушка курит в офис открыто вопреки правилам.			
2	filler	88	0	filler_gram	5	Fem	0	119Y	Prep	0	Девушка	курит	в офисе	открыто	вопреки	правилам	Девушка курит в офисе открыто вопреки правилам.	Курит ли девушка в офисе?	да	нет
2	filler	89	0	filler_ungram	4	Fem	0	120N	Instr	0	Студентка	выбегает	в коридором	быстро	и сразу 	прячется	Студентка выбегает в коридором быстро и сразу  прячется.	Студентка двигается медленно?	Нет	Да
2	filler	90	0	filler_gram	5	Fem	0	120Y	Acc	0	Студентка	выбегает	в коридор	быстро	и сразу 	прячется	Студентка выбегает в коридор быстро и сразу  прячется.			
