list	part	item_id	condition	type	type_id	target_gender	gender_match	orig_item_number	case	animacy	R1	R2	R3	R4	R5	R6	text	question	response_true	response_distractors
4	adjectives	4	a	stim_adj	1	M	Match	0	0	Inanim	У бабушки	старый	пылесос	уже год	плохо	работает	У бабушки старый пылесос уже год плохо работает.	Хорошо ли работает у бабушки техника? 	нет	да
4	adjectives	5	b	stim_adj	1	F	Mis	0	0	Inanim	На стене 	рваный	газета	давно	еле-еле	держится	На стене  рваный газета давно еле-еле держится.	Все ли в порядке на стене?	нет	да
4	adjectives	6	c	stim_adj	1	F	Match	0	0	Inanim	В комнате	странная	сумка	в углу	привлекает	внимание	В комнате странная сумка в углу привлекает внимание.	Лежит ли странный предмет в центре комнаты?	нет	да
4	adjectives	7	d	stim_adj	1	M	Mis	0	0	Inanim	В холодильнике	готовая	окорок	из Испании	или из	Италии	В холодильнике готовая окорок из Испании или из Италии.	Продукты в ящике были из-за границы?	Да	Нет
4	adjectives	9	b	stim_adj	1	F	Mis	0	0	Inanim	На реке	ржавый	баржа	вечером	сильно	тарахтит	На реке ржавый баржа вечером сильно тарахтит.	Есть ли вечером шум на реке?	да	нет
4	adjectives	14	c	stim_adj	1	F	Match	0	0	Inanim	В саду	сладкая	вишня	уже 	скоро	созреет	В саду сладкая вишня уже  скоро созреет.	Скоро ли будут фрукты и овощи в саду?	да	нет
4	adjectives	16	a	stim_adj	1	M	Match	0	0	Inanim	На дороге	грязный	трактор	никак	не может	завестись	На дороге грязный трактор никак не может завестись.	Удается ли завести мотор?	нет	да
4	adjectives	18	c	stim_adj	1	F	Match	0	0	Inanim	В шкафу	дорогая	посуда	уже давно	пылится	без дела	В шкафу дорогая посуда уже давно пылится без дела.	Используется ли предмет?	нет	да
4	verbs	20	a	stim_verb	2	M	Match	0	0	Inanim	На кухне	стоял	пылесос	китайского	или корейского	производства	На кухне стоял пылесос китайского или корейского производства.	Технику произвели в Америке?	нет	да
4	verbs	21	b	stim_verb	2	F	Mis	0	0	Inanim	На стене 	висел	газета	с изображением	группы	Нирвана	На стене  висел газета с изображением группы Нирвана.	Изображена ли была группа Любэ?	нет	да
4	verbs	22	c	stim_verb	2	F	Match	0	0	Inanim	При входе	лежала	сумка	с вещами	нашего	 приятеля	При входе лежала сумка с вещами нашего  приятеля.			
4	verbs	23	d	stim_verb	2	M	Mis	0	0	Inanim	В ресторан	прибыла	окорок	из Испании	или из	Италии	В ресторан прибыла окорок из Испании или из Италии.	Еда поступила в ресторан?	да	нет
4	verbs	25	b	stim_verb	2	F	Mis	0	0	Inanim	У берега	стоял	баржа	на якоре	и плавно	качалась	У берега стоял баржа на якоре и плавно качалась.			
4	verbs	30	c	stim_verb	2	F	Match	0	0	Inanim	В саду	созрела	вишня	из Болгарии	несмотря на 	непогоду	В саду созрела вишня из Болгарии несмотря на  непогоду.	Хорошая ли была погода?	нет	да
4	verbs	32	a	stim_verb	2	M	Match	0	0	Inanim	К дому	подъехал	трактор	с выбитыми	стеклами	и фарами	К дому подъехал трактор с выбитыми стеклами и фарами.	Стёкла и фары были в плохом состоянии?	да	нет
4	verbs	34	c	stim_verb	2	F	Match	0	0	Inanim	С полки	упала	посуда	вместе	с коробкой	и салфетками	С полки упала посуда вместе с коробкой и салфетками.	Остались ли салфетки на полке?	нет	да
4	pred_adjectives	38	c	stim_pred_adj	3	F	Match	0	0	inanim	У бабушки	готова	закуска	на всю	нашу	семью	У бабушки готова закуска на всю нашу семью.			
4	pred_adjectives	42	c	stim_pred_adj	3	F	Match	0	0	inanim	Дома всегда	полезна	машинка	для заготовки	фруктов и	овощей	Дома всегда полезна машинка для заготовки фруктов и овощей.			
4	pred_adjectives	43	d	stim_pred_adj	3	M	Mis	0	0	inanim	Мне очень	дорога	сувенир	о нашей 	встрече	в Москве	Мне очень дорога сувенир о нашей  встрече в Москве.	Состоялась ли наша встреча в России?	да	нет
4	pred_adjectives	44	a	stim_pred_adj	3	M	Match	0	0	inanim	Тебе пока	велик	костюм 	из маминого	зимнего	гардероба	Тебе пока велик костюм  из маминого зимнего гардероба.			
4	pred_adjectives	46	c	stim_pred_adj	3	F	Match	0	0	inanim	В музее	привлекательна	комната	научных	экспериментов	для детей	В музее привлекательна комната научных экспериментов для детей.			
4	pred_adjectives	47	d	stim_pred_adj	3	M	Mis	0	0	inanim	В  парке	маловата	газон	с незабудками	и статуями	из мха	В  парке маловата газон с незабудками и статуями из мха.	Есть ли в парке незабудки?	да	нет
4	pred_adjectives	48	a	stim_pred_adj	3	M	Match	0	0	inanim	Для первоклашек	бесполезен	вопрос	о процентах	или десятичных	дробях	Для первоклашек бесполезен вопрос о процентах или десятичных дробях.	Знают ли первоклашки дроби?	нет	да
4	pred_adjectives	50	c	stim_pred_adj	3	F	Match	0	0	inanim	Совершенно	недопустима	беседа	о политике 	или деньгах	на работе	Совершенно недопустима беседа о политике  или деньгах на работе.	Можно ли говорить о политике на работе?	нет	да
4	filler	51	0	filler_ungram	4	Masc	0	101N	Acc	0	Ребёнок	по ночам	в кроватку	всегда	плохо	спит	Ребёнок по ночам в кроватку всегда плохо спит.			
4	filler	52	0	filler_gram	5	Masc	0	101Y	Prep	0	Ребёнок	по ночам	в кроватке	всегда	плохо	спит	Ребёнок по ночам в кроватке всегда плохо спит.	Ребёнок хорошо спит в кроватке?	Нет	Да
4	filler	53	0	filler_ungram	4	Masc	0	102N	Instr	0	Старик	приходит	в квартирой	редко	и всегда	неохотно	Старик приходит в квартирой редко и всегда неохотно.			
4	filler	54	0	filler_gram	5	Masc	0	102Y	Acc	0	Старик	приходит	в квартиру	редко	и всегда	неохотно	Старик приходит в квартиру редко и всегда неохотно.	Старик часто приходит в квартиру?	Да	Нет
